scene,method,dimensions,repeat,contributing_rows,valid_rows,positive_similarity,positive_similarity_std,positive_similarity_count,negative_similarity,negative_similarity_std,negative_similarity_count,similarity_gap,similarity_gap_std,similarity_gap_count,retrieval_voxel_hit,retrieval_voxel_hit_std,retrieval_voxel_hit_count,retrieval_hit_distance,retrieval_hit_distance_std,retrieval_hit_distance_count,retrieval_world_error_mean,retrieval_world_error_mean_std,retrieval_world_error_mean_count,retrieval_world_error_median,retrieval_world_error_median_std,retrieval_world_error_median_count,status,scope
scene0709_00,random,256,46,30,30,0.8513980507850647,0.028028821628418195,30,0.7003149206700154,0.03968513701700214,30,0.15108313011504892,0.04111325688546957,30,0.3066271601415708,0.12291813014606338,30,0.44408873799902876,0.15708601029216532,30,0.23981702507011923,0.1000482000624193,30,0.15142731194694836,0.085954194893611,30,ok,within_chunk
scene0709_00,random,384,42,30,30,0.8662139534950256,0.028735323155243443,30,0.7199835107081979,0.04282833470396426,30,0.14623044278682773,0.04197065229277095,30,0.31506532410868154,0.12956389867521928,30,0.451101002967134,0.16920573598735483,30,0.23850016520921288,0.10671621400819735,30,0.14798890426754951,0.09543981179798422,30,ok,within_chunk
scene0709_00,random,384,43,30,30,0.8712627271811167,0.02989644779520541,30,0.718827954766507,0.05254307496832073,30,0.15243477241460981,0.048717883478106634,30,0.3052517616859161,0.13007849789054315,30,0.4437614473723767,0.1746315509250738,30,0.24572186770322968,0.10529071544776694,30,0.15090209245681763,0.09891045500678762,30,ok,within_chunk
scene0709_00,random,384,44,30,30,0.9902630090713501,0.001800541245507977,30,0.9778050374345503,0.003962563599732524,30,0.012457971636799747,0.003909020180130835,30,0.26875561972964446,0.11679772421257302,30,0.39181209337519085,0.15901509687417587,30,0.2770036487361768,0.10944622110143284,30,0.1827033712218205,0.11485774646217208,30,ok,within_chunk
scene0709_00,random,384,45,30,30,0.9906391104062399,0.0018213622061323304,30,0.9790931653629841,0.003574298989658998,30,0.011545945043255719,0.0035517620138107307,30,0.2861966311922848,0.12398526451115569,30,0.41337174805240484,0.16776124100455045,30,0.2678381592228527,0.11043056518789733,30,0.17586569711565972,0.11069842833688853,30,ok,within_chunk
scene0709_00,random,384,46,30,30,0.8483976264794667,0.026325802992545784,30,0.6912029920886391,0.048455035469904276,30,0.15719463439082773,0.04571089860639692,30,0.3074482151067197,0.12007581411557627,30,0.44427013480468336,0.1601670250798213,30,0.2410360111335355,0.10400224939374014,30,0.1538156971335411,0.10257826655191,30,ok,within_chunk
scene0709_00,random,512,42,30,30,0.8571773409843445,0.028874637612360306,30,0.7088825742762274,0.04307697039779587,30,0.1482947667081172,0.04202000304990244,30,0.31853045080225467,0.12882048481665936,30,0.45619083974530367,0.1689801718074861,30,0.23699964947404387,0.1064780956643683,30,0.14935999450584253,0.10370375978508527,30,ok,within_chunk
scene0709_00,random,512,43,30,30,0.8687415877978008,0.02818948061791011,30,0.7117832647481045,0.055079729462872734,30,0.15695832304969623,0.05046889017483255,30,0.31874837479497853,0.13344228442089437,30,0.4537197589185515,0.17234560927500817,30,0.23947117794513162,0.10670238936282804,30,0.14993849607805412,0.09832860714011082,30,ok,within_chunk
scene0709_00,random,512,44,30,30,0.9880923469861348,0.0021050504071852306,30,0.9736588301421738,0.004308970558276201,30,0.014433516843961047,0.0043488899241776345,30,0.2919653978460077,0.12167776612037,30,0.42220394290360314,0.16786727348293845,30,0.25168563670982036,0.10161064357292703,30,0.16830517947673798,0.10568405546045895,30,ok,within_chunk
scene0709_00,random,512,45,30,30,0.9882139205932617,0.0021782016016933226,30,0.9743993999620078,0.004081846582007917,30,0.01381452063125403,0.004112619760131786,30,0.29952981780016696,0.12788391759238318,30,0.42827653961837603,0.17186812190196513,30,0.25346007040617713,0.10913618814293455,30,0.164962167168657,0.10694783331166705,30,ok,within_chunk
scene0709_00,random,512,46,30,30,0.8410973926385243,0.030492902612722635,30,0.6729059780834521,0.049240311981755436,30,0.16819141455507242,0.0498444328529455,30,0.30928225472454735,0.12559187155132037,30,0.4456107806792494,0.16974689238845764,30,0.2455114422815818,0.11059285213346359,30,0.1625733514626821,0.10759270318142683,30,ok,within_chunk
scene0709_00,random,768,42,30,30,0.848001088698705,0.028132527864410617,30,0.692401502379573,0.04487116998068174,30,0.15559958631913204,0.04388612269792248,30,0.3240748938324631,0.12419980897482424,30,0.4682783050868851,0.1635052739623323,30,0.2300252767186257,0.1047588243476378,30,0.14426941002408664,0.09830585154859778,30,ok,within_chunk
scene0709_00,random,768,43,30,30,0.8559290508429209,0.028583127403102135,30,0.6830378378603101,0.05788681742022933,30,0.17289121298261073,0.05294450434300744,30,0.3048156483612305,0.125311941953995,30,0.4349980584581535,0.17186533072812493,30,0.24617446640313348,0.10756898996128142,30,0.1627664962162574,0.10780132713605968,30,ok,within_chunk
scene0709_00,random,768,44,30,30,0.9825509985287985,0.0033609567200885856,30,0.9614546882424275,0.006640080415406212,30,0.02109631028637101,0.006749419321788403,30,0.29944434334047326,0.1231986146949746,30,0.43513378929128715,0.17053344955800723,30,0.24877391932158188,0.10566448564997535,30,0.16039486328760783,0.10756033230829343,30,ok,within_chunk
scene0709_00,random,768,45,30,30,0.9829792638619741,0.0032211188512424366,30,0.9626402122981919,0.006041384048549719,30,0.020339051563782174,0.0061635004676505135,30,0.3099452223196456,0.12834205451150116,30,0.44348044675367676,0.1699809504887629,30,0.24430259310828709,0.10798520603073326,30,0.1581268824636936,0.10606343047846932,30,ok,within_chunk
