method,dimensions,repeats,scenes,positive_similarity,positive_similarity_seed_std,positive_similarity_scene_std,positive_similarity_scene_count,negative_similarity,negative_similarity_seed_std,negative_similarity_scene_std,negative_similarity_scene_count,similarity_gap,similarity_gap_seed_std,similarity_gap_scene_std,similarity_gap_scene_count,retrieval_voxel_hit,retrieval_voxel_hit_seed_std,retrieval_voxel_hit_scene_std,retrieval_voxel_hit_scene_count,retrieval_hit_distance,retrieval_hit_distance_seed_std,retrieval_hit_distance_scene_std,retrieval_hit_distance_scene_count,retrieval_world_error_mean,retrieval_world_error_mean_seed_std,retrieval_world_error_mean_scene_std,retrieval_world_error_mean_scene_count,retrieval_world_error_median,retrieval_world_error_median_seed_std,retrieval_world_error_median_scene_std,retrieval_world_error_median_scene_count,scope
ablation_once,768,1,5,0.8930676722911096,0.0,0.01661884737756585,5,0.7971646271919106,0.0,0.017527768625198805,5,0.09655994831226923,0.0,0.013310444903511314,5,0.23867652549718602,0.0,0.09174954191991326,5,0.34726663028494753,0.0,0.10480484851391922,5,0.34754119039396103,0.0,0.08407912698407216,5,0.2532410384474262,0.0,0.09807244510651664,5,all_pairs
ablation_once,1024,1,5,0.8918945796643534,0.0,0.015497902708442616,5,0.794907900671289,0.0,0.013740972387496483,5,0.09760495775541005,0.0,0.014238577493924012,5,0.24110091373232057,0.0,0.0931186942672828,5,0.35432688828258885,0.0,0.10918269769793211,5,0.3442473627851609,0.0,0.09191290394551267,5,0.2510898533223137,0.0,0.10377050401615055,5,all_pairs
centered_full,1536,1,5,0.6428089785191322,0.0,0.05712083236943952,5,0.3020436164997133,0.0,0.07093560817591225,5,0.3420543657928209,0.0,0.055720217327543474,5,0.21707727816933126,0.0,0.08476609501221978,5,0.3218064174879932,0.0,0.10557309455974512,5,0.3728755001135461,0.0,0.097282473820039,5,0.2941282472062495,0.0,0.11759631376400571,5,all_pairs
original,1536,1,5,0.9739480097255399,0.0,0.005450650462581929,5,0.9466847879441254,0.0,0.006538058391100019,5,0.02746338013903471,0.0,0.0032110307520252022,5,0.2130213954153044,0.0,0.08725433334164026,5,0.3147779595350165,0.0,0.11124021212649027,5,0.3789832097009212,0.0,0.10142633443338869,5,0.2863053411774097,0.0,0.1139240733334531,5,all_pairs
pca,128,1,5,0.6747826898674811,0.0,0.0604152916859919,5,0.3178799934634164,0.0,0.07883750796148534,5,0.35820521667148975,0.0,0.06057584194384344,5,0.19984094572069414,0.0,0.07889099826446554,5,0.2986355609798153,0.0,0.10222925177858323,5,0.39478933004737593,0.0,0.09849717777740001,5,0.3132008529766913,0.0,0.11834975765615824,5,all_pairs
pca,256,1,5,0.6595035197465652,0.0,0.059270193961286397,5,0.3096539852424917,0.0,0.07541783888757561,5,0.3511488512589785,0.0,0.05831316190332543,5,0.2090848042937791,0.0,0.08236169145320754,5,0.3112172835887782,0.0,0.1047319044348282,5,0.38568688325047296,0.0,0.09914367125857196,5,0.3014935069555236,0.0,0.1175027519497578,5,all_pairs
pca,384,1,5,0.6528712689972692,0.0,0.05860767468332777,5,0.30621536400833815,0.0,0.07392141404677031,5,0.34794969180434887,0.0,0.05741792821694092,5,0.211709104856737,0.0,0.08348929056291265,5,0.3150840376949258,0.0,0.10525886179092016,5,0.381326693929045,0.0,0.09872019476272739,5,0.2987737379535552,0.0,0.1173723444769864,5,all_pairs
pca,512,1,5,0.6493466590296837,0.0,0.05812512901585463,5,0.3046110541165862,0.0,0.07303568654248914,5,0.34602627675773384,0.0,0.056915593010432,5,0.21334691551412624,0.0,0.08392304172046679,5,0.3171369542705032,0.0,0.10549359373951231,5,0.3799357495695489,0.0,0.09881363494885124,5,0.2992946941814115,0.0,0.11687646660756587,5,all_pairs
pca,768,1,5,0.6457259296601819,0.0,0.057588247950603084,5,0.30309400161995914,0.0,0.07193393018652267,5,0.3439220885475069,0.0,0.056253471987243855,5,0.2143462751359885,0.0,0.08345956176273678,5,0.3188485825226691,0.0,0.10527806659724352,5,0.37501622179984456,0.0,0.09760988098155109,5,0.2957574651558553,0.0,0.11687134365819576,5,all_pairs
pca,1024,1,5,0.6440262211522747,0.0,0.05733751130282813,5,0.30247071833647887,0.0,0.07137539365433151,5,0.3428452303241768,0.0,0.055945547027043796,5,0.21538268591937068,0.0,0.08399512568614467,5,0.32011347175847626,0.0,0.1054289643431791,5,0.3738004637036615,0.0,0.09750529626736694,5,0.2949374786307735,0.0,0.11688421605199753,5,all_pairs
