method,dimensions,repeat,contributing_rows,valid_rows,positive_similarity,positive_similarity_std,positive_similarity_count,negative_similarity,negative_similarity_std,negative_similarity_count,similarity_gap,similarity_gap_std,similarity_gap_count,retrieval_voxel_hit,retrieval_voxel_hit_std,retrieval_voxel_hit_count,retrieval_hit_distance,retrieval_hit_distance_std,retrieval_hit_distance_count,retrieval_world_error_mean,retrieval_world_error_mean_std,retrieval_world_error_mean_count,retrieval_world_error_median,retrieval_world_error_median_std,retrieval_world_error_median_count,status
ablation_once,768,0,5,5,0.8364200342855146,0.02818494441756637,5,0.6615715526992079,0.03960120211141817,5,0.17579970761308783,0.030146013029201713,5,0.29207826724600844,0.08602200429165813,5,0.43987196561738695,0.08982039137874831,5,0.2657627896803742,0.07247579646305793,5,0.18982520129171113,0.07291503077636356,5,ok
ablation_once,1024,0,5,5,0.8471100967161117,0.028782464968213236,5,0.6804132831632057,0.033169536796202,5,0.16765866560093912,0.023348382547895064,5,0.30035339412913764,0.08496165001683259,5,0.4493059654490289,0.09028117728895178,5,0.25909937857496274,0.0701026522525848,5,0.18283742925813123,0.07017191260811334,5,ok
centered_full,1536,0,5,5,0.6106620848851818,0.039089212193748085,5,0.2343371301365801,0.05196764799676107,5,0.3786847582983069,0.06250937816459967,5,0.2862672136993721,0.08473445023969187,5,0.4269988022738268,0.09824443547664338,5,0.2772397120421183,0.0760149869099617,5,0.19736529798036623,0.08458053629078327,5,ok
original,1536,0,5,5,0.9780751080090001,0.0034680570072216253,5,0.953940748049722,0.003587320195178666,5,0.02424251143358469,0.003003847134663581,5,0.2891161904824421,0.08348223623735228,5,0.4343300426951139,0.09166706445020946,5,0.27604771124506994,0.07538771341677014,5,0.19736653407254529,0.07753761915155268,5,ok
pca,128,0,5,5,0.6620757558557295,0.03850186953552773,5,0.26489389121877,0.063583679608892,5,0.3997095204999523,0.0688107882205109,5,0.2425108175273829,0.07282614088216034,5,0.3706818162424203,0.09049055335662347,5,0.31300308269367466,0.08176023833917437,5,0.23026648511329,0.09237589441100628,5,ok
pca,256,0,5,5,0.6419163162189145,0.039414907164924816,5,0.2513678991335689,0.05904925042495097,5,0.3930617137023204,0.06648770566400922,5,0.2663041144990147,0.0792737949488018,5,0.40154711037653046,0.09479930226612114,5,0.29386367411020486,0.07797505712310561,5,0.2095384413268297,0.08695059198131083,5,ok
pca,384,0,5,5,0.6328589433431626,0.039170524799540606,5,0.24624626375145367,0.056906031784526356,5,0.3890697913066975,0.06537021147380169,5,0.275591874957139,0.08027362791429732,5,0.4130084830693043,0.09452924621204122,5,0.28728421783819236,0.07661689785097957,5,0.20504329828004683,0.08653710521663689,5,ok
pca,512,0,5,5,0.6268015237777463,0.03920130322378374,5,0.24287869376626584,0.055612122260517594,5,0.38635672180777725,0.06469783490223073,5,0.2787972305862079,0.08253190101633233,5,0.4170300516132146,0.09526766558329923,5,0.28469298149838085,0.07666379533842096,5,0.20269554695775432,0.08485528724078191,5,ok
pca,768,0,5,5,0.6193772959805305,0.039090191285978154,5,0.23879994239201924,0.05393408915544697,5,0.3829800155183596,0.06373597386145308,5,0.28215268270138977,0.08347430090141747,5,0.4218994497516568,0.09742473845702448,5,0.2815656034963562,0.07673789329265185,5,0.2012559707703129,0.08526645691264369,5,ok
pca,1024,0,5,5,0.6149686279989058,0.03907110329144182,5,0.23650737170935612,0.053013470565294415,5,0.3808407832661658,0.06314667535519296,5,0.2840886733939383,0.08400966886345462,5,0.4242545894497164,0.09772475093945363,5,0.27965654596791617,0.0769745978233448,5,0.19848006934167878,0.08454390022713669,5,ok
