scene,method,dimensions,repeat,contributing_rows,valid_rows,positive_similarity,positive_similarity_std,positive_similarity_count,negative_similarity,negative_similarity_std,negative_similarity_count,similarity_gap,similarity_gap_std,similarity_gap_count,retrieval_voxel_hit,retrieval_voxel_hit_std,retrieval_voxel_hit_count,retrieval_hit_distance,retrieval_hit_distance_std,retrieval_hit_distance_count,retrieval_world_error_mean,retrieval_world_error_mean_std,retrieval_world_error_mean_count,retrieval_world_error_median,retrieval_world_error_median_std,retrieval_world_error_median_count,status
scene0708_00,ablation_iterative,512,0,31,31,0.8607000977762284,0.028502521283766007,31,0.7180469224019499,0.026692719327203362,31,0.14265317537427857,0.03418897023322369,31,0.371960469305944,0.1267685800388899,31,0.4277470747475435,0.14528199726042298,31,0.3158887423632476,0.16831328196754558,31,0.2156530053865525,0.17699762128345248,31,ok
scene0708_00,ablation_iterative,768,0,31,31,0.8651555142095012,0.025427843329149446,31,0.7312701511456371,0.024950603440315976,31,0.13388536306386417,0.033606692543170905,31,0.37494702594151746,0.13090840396972903,31,0.4234499653312418,0.13960523078349923,31,0.30720402196546037,0.16747796157847636,31,0.21329122084763744,0.17648761200290594,31,ok
scene0708_00,ablation_iterative,1024,0,31,31,0.8609681167910176,0.02624971455574411,31,0.7259830466370556,0.026591739655042117,31,0.13498507015396208,0.03414812458492623,31,0.36758306007788405,0.13958508201771574,31,0.418579837742551,0.1441597936338425,31,0.3079002771451585,0.1653725655231892,31,0.21913654188955983,0.17802245969203856,31,ok
scene0708_00,ablation_once,128,0,31,31,0.847521182029478,0.029745069043513147,31,0.7141304932498496,0.04166199038164892,31,0.13339068877962856,0.03615090945708871,31,0.2626285993773921,0.11534350159545448,31,0.2985575993336485,0.11498646422596467,31,0.4234409923518103,0.1954587571657202,31,0.3099120199199646,0.1988121749168435,31,ok
scene0708_00,ablation_once,256,0,31,31,0.8584515567748777,0.024064235422504247,31,0.7339411762815619,0.028567148014415806,31,0.12451038049331592,0.03251349156744337,31,0.30656006065363334,0.12779303441899506,31,0.3480693205142526,0.12964244254872892,31,0.37050029948384705,0.19583028871942912,31,0.26651503458138437,0.183250466328904,31,ok
scene0708_00,ablation_once,384,0,31,31,0.8418923212635901,0.027325964437663046,31,0.697400911193029,0.031931935976712525,31,0.1444914100705612,0.03657835670478701,31,0.3316960920819864,0.13088500665351455,31,0.37720673399489496,0.13080850952800005,31,0.34707360216484195,0.19000193018434586,31,0.24607710732567695,0.19487939454742337,31,ok
scene0708_00,ablation_once,512,0,31,31,0.8624428856757379,0.023613208888473847,31,0.7296532540754797,0.028075378455962866,31,0.1327896316002583,0.035313984030416544,31,0.3408601543565809,0.1291222221114561,31,0.39094067839673663,0.1408703717718735,31,0.33384713448197495,0.1834955928143864,31,0.22658270285014184,0.172224599313825,31,ok
scene0708_00,ablation_once,768,0,31,31,0.8597484038722131,0.025158536470218294,31,0.7241694351490496,0.027082223552609006,31,0.13557896872316325,0.03520034661002617,31,0.3625871826924192,0.13866889103439284,31,0.4115142322369436,0.14666610461014337,31,0.3152181846801469,0.16784701967273077,31,0.22012676538959627,0.17429477009054353,31,ok
scene0708_00,ablation_once,1024,0,31,31,0.8609681167910176,0.02624971455574411,31,0.7259830466370556,0.026591739655042117,31,0.13498507015396208,0.03414812458492623,31,0.36758306007788405,0.13958508201771574,31,0.418579837742551,0.1441597936338425,31,0.3079002771451585,0.1653725655231892,31,0.21913654188955983,0.17802245969203856,31,ok
scene0708_00,centered_full,1536,0,31,31,0.6433351857046927,0.08414260190286532,31,0.3228013697129293,0.12285488391405586,31,0.3205338159917635,0.09397332775716105,31,0.33822059285746775,0.13305259970312822,31,0.3882673595332514,0.13907047145687176,31,0.34247163154471855,0.185855321956024,31,0.2344653308391571,0.19121097961887965,31,ok
